Academics Plus School District,12345, 3rd Grade Literacy , All Students Percentage of Students ,2014-2015,12.31,35.39,47.69,4.62
Academics Plus School District,12345, 8th Grade Science , Caucasian ,2015-2016,21.62,40.54,27.03,67.57
Academics Plus School District,12345, 8th Grade Science , Caucasian ,2016-2017,16.00,22.00,28.00,34.00
Academics Plus School District,12345, 8th Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Economically Disadvantaged ,2015-2016,41.67,33.33,0.00,33.33
Academics Plus School District,12345, 8th Grade Science , Economically Disadvantaged ,2016-2017,21.43,42.86,21.43,14.29
Academics Plus School District,12345, 8th Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Science , Students with Disabilities ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 8th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Female ,2015-2016,20.83,50.00,25.00,75.00
Academics Plus School District,12345, 8th Grade Science , Female ,2016-2017,22.22,22.22,25.00,30.56
Academics Plus School District,12345, 8th Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Male ,2015-2016,29.17,25.00,25.00,50.00
Academics Plus School District,12345, 8th Grade Science , Male ,2016-2017,14.71,23.53,29.41,32.35
Academics Plus School District,12345, 8th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 8th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , All Students Percentage of Students ,2015-2016,27.66,29.79,12.77,42.55
Academics Plus School District,12345, 9th Grade Science , All Students Percentage of Students ,2016-2017,25.00,37.50,18.75,18.75
Academics Plus School District,12345, 9th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 9th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 9th Grade Science , All Students Number of Students ,2016-2017,12,18,9,9
Academics Plus School District,12345, 9th Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , TAGG ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , TAGG ,2016-2017,46.15,38.46,7.69,7.69
Academics Plus School District,12345, 9th Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , African American ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Caucasian ,2015-2016,27.78,33.33,16.67,50.00
Academics Plus School District,12345, 9th Grade Science , Caucasian ,2016-2017,22.86,34.29,20.00,22.86
Academics Plus School District,12345, 9th Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Economically Disadvantaged ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Economically Disadvantaged ,2016-2017,46.15,38.46,7.69,7.69
Academics Plus School District,12345, 9th Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Students with Disabilities ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 9th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Female ,2015-2016,16.67,33.33,11.11,44.44
Academics Plus School District,12345, 9th Grade Science , Female ,2016-2017,12.00,36.00,24.00,28.00
Academics Plus School District,12345, 9th Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Male ,2015-2016,34.48,27.59,13.79,41.38
Academics Plus School District,12345, 9th Grade Science , Male ,2016-2017,39.13,39.13,13.04,8.70
Academics Plus School District,12345, 9th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 9th Grade Science , Migrant ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , All Students Percentage of Students ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , All Students Percentage of Students ,2015-2016,15.56,35.56,15.56,51.11
Academics Plus School District,12345, 10th Grade Science , All Students Percentage of Students ,2016-2017,23.26,27.91,34.88,13.95
Academics Plus School District,12345, 10th Grade Science , All Students Number of Students ,2014-2015,,,,
Academics Plus School District,12345, 10th Grade Science , All Students Number of Students ,2015-2016,,,,
Academics Plus School District,12345, 10th Grade Science , All Students Number of Students ,2016-2017,10,12,15,6
Academics Plus School District,12345, 10th Grade Science , TAGG ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , TAGG ,2015-2016,23.08,30.77,15.38,46.15
Academics Plus School District,12345, 10th Grade Science , TAGG ,2016-2017,60.00,10.00,20.00,10.00
Academics Plus School District,12345, 10th Grade Science , African American ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , African American ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , African American ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Hispanic ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Hispanic ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Hispanic ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Caucasian ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Caucasian ,2015-2016,15.63,34.38,15.63,50.00
Academics Plus School District,12345, 10th Grade Science , Caucasian ,2016-2017,9.09,30.30,42.42,18.18
Academics Plus School District,12345, 10th Grade Science , Economically Disadvantaged ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Economically Disadvantaged ,2015-2016,27.27,36.36,9.09,45.45
Academics Plus School District,12345, 10th Grade Science , Economically Disadvantaged ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Students with Disabilities ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Students with Disabilities ,2015-2016,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Students with Disabilities ,2016-2017,RV,RV,RV,RV
Academics Plus School District,12345, 10th Grade Science , Limited English Proficient ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Limited English Proficient ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Limited English Proficient ,2016-2017,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Female ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Female ,2015-2016,10.53,42.11,21.05,63.16
Academics Plus School District,12345, 10th Grade Science , Female ,2016-2017,23.53,35.29,23.53,17.65
Academics Plus School District,12345, 10th Grade Science , Male ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Male ,2015-2016,19.23,30.77,11.54,42.31
Academics Plus School District,12345, 10th Grade Science , Male ,2016-2017,23.08,23.08,42.31,11.54
Academics Plus School District,12345, 10th Grade Science , Migrant ,2014-2015,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Migrant ,2015-2016,---,---,---,---
Academics Plus School District,12345, 10th Grade Science , Migrant ,2016-2017,---,---,---,---
